game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap,turn,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
3,14,F,2,5,211,put,2,2,Z,X,,monte_carlo,24,1.0,10.8,1.0,1.0,0.0,14,211,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=X",
3,15,G,2,4,192,put,0,2,Y,Z,,random,,,,,,,15,192,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=5,direction1=Y,direction2=Z",
3,16,F,2,3,89,put,1,2,Z,X,,monte_carlo,24,1.0,11.8,1.0,1.0,0.0,16,89,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=2,direction1=Z,direction2=X",
3,17,G,2,2,70,put,0,1,Z,X,,random,,,,,,,17,70,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=X",0.0
3,18,F,2,1,19,end_phase,,,,,,monte_carlo,19,1.0,12.0,1.0,1.0,0.0,18,19,1.0,1.0,1.0,0.0,0.0,end_phase,1.0
3,19,G,3,9,312,put,2,1,Y,Z,,random,,,,,,,19,312,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=2,direction1=Y,direction2=Z",
3,20,F,3,8,210,put,0,2,Y,Z,,monte_carlo,24,1.0,11.9,1.0,1.0,0.0,20,210,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=0,direction1=Y,direction2=Z",
3,21,G,3,7,180,put,1,2,Z,Y,Y,random,,,,,,,21,180,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=2,direction1=Z,direction2=Y,down_direction=Y",0.0
3,22,F,3,6,104,put,0,1,Z,X,X,monte_carlo,24,1.0,11.8,1.0,1.0,0.0,22,104,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=X,down_direction=X",
3,23,G,3,5,88,put,0,0,Y,Z,Y,random,,,,,,,23,88,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=0,direction1=Y,direction2=Z,down_direction=Y",0.0
3,24,F,3,4,34,put,1,0,X,Z,,monte_carlo,24,1.0,12.8,1.0,1.0,0.0,24,34,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=X,direction2=Z",1.0
3,25,G,3,3,26,put,2,2,X,Y,,random,,,,,,,25,26,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=0,direction1=X,direction2=Y",0.0
4,1,F,1,9,649,put,0,2,Y,X,,monte_carlo,24,0.85,3.3,0.85,0.8,0.04999999999999993,1,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=5,direction1=Y,direction2=X",
4,2,G,1,8,577,put,1,2,X,Y,,random,,,,,,,2,577,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=7,direction1=X,direction2=Y",
4,3,F,1,7,463,put,2,2,Y,X,,monte_carlo,24,0.85,3.3,0.85,0.8,0.04999999999999993,3,463,1.0,0.75,0.0,0.25,1.0,"put,x=2,y=2,piece_index=7,direction1=Y,direction2=X",
4,4,G,1,6,397,put,1,1,X,Z,,random,,,,,,,4,397,0.75,0.75,0.0,0.0,0.75,"put,x=1,y=1,piece_index=8,direction1=X,direction2=Z",
4,5,F,1,5,301,put,2,1,X,Y,,monte_carlo,24,0.85,1.5,0.85,0.8,0.04999999999999993,5,301,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=0,direction1=X,direction2=Y",
4,6,G,1,4,241,put,1,0,Z,Y,,random,,,,,,,6,241,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=5,direction1=Z,direction2=Y",
4,7,F,1,3,163,put,0,0,Z,X,,monte_carlo,24,0.7,1.7,0.7,0.65,0.04999999999999993,7,163,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=2,direction1=Z,direction2=X",
4,8,G,1,2,109,put,2,0,Z,X,,random,,,,,,,8,109,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=5,direction1=Z,direction2=X",
4,9,F,1,1,49,put,0,1,X,Z,,monte_carlo,24,0.8,1.7,0.8,0.6,0.20000000000000007,9,49,0.75,0.5,0.0,0.25,0.75,"put,x=0,y=1,piece_index=4,direction1=X,direction2=Z",0.5
4,10,F,2,9,547,put,1,2,Z,X,,monte_carlo,24,0.75,2.1,0.75,0.6,0.15000000000000002,10,547,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=3,direction1=Z,direction2=X",
4,11,G,2,8,560,put,1,0,Z,Y,,random,,,,,,,11,560,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=7,direction1=Z,direction2=Y",
4,12,F,2,7,373,put,0,0,X,Z,,monte_carlo,24,0.9,3.1,0.9,0.85,0.050000000000000044,12,373,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=2,direction1=X,direction2=Z",
4,13,G,2,6,364,put,0,1,X,Z,,random,,,,,,,13,364,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=3,direction1=X,direction2=Z",
4,14,F,2,5,221,put,2,0,X,Z,X,monte_carlo,24,1.0,4.6,1.0,1.0,0.0,14,221,1.0,1.0,0.25,0.0,0.75,"put,x=2,y=0,piece_index=4,direction1=X,direction2=Z,down_direction=X",
4,15,G,2,4,204,put,2,2,Z,Y,Y,random,,,,,,,15,204,0.75,0.25,0.0,0.5,0.75,"put,x=2,y=2,piece_index=2,direction1=Z,direction2=Y,down_direction=Y",
4,16,F,2,3,97,put,1,1,Y,Z,,monte_carlo,24,1.0,4.8,1.0,1.0,0.0,16,97,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=0,direction1=Y,direction2=Z",
4,17,G,2,2,90,put,2,1,X,Y,,random,,,,,,,17,90,0.5,0.25,0.0,0.25,0.5,"put,x=2,y=1,piece_index=0,direction1=X,direction2=Y",
4,18,F,2,1,31,put,0,2,Y,Z,,monte_carlo,24,1.0,7.5,1.0,1.0,0.0,18,31,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Y,direction2=Z",
