game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
8,13,2,G,364,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=X,direction2=Y",0.0
8,14,2,F,221,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=3,direction1=Z,direction2=X",
8,15,2,G,204,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=4,direction1=Z,direction2=X",
8,16,2,F,97,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=0,direction1=Y,direction2=Z",
8,17,2,G,70,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=4,direction1=Z,direction2=Y,down_direction=Y",
8,18,2,F,19,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=1,piece_index=2,direction1=X,direction2=Z",1.0
8,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=3,direction1=X,direction2=Z,down_direction=X",
8,20,3,F,140,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=0,direction1=Y,direction2=Z",1.0
8,21,3,G,186,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=2,direction1=Z,direction2=X,down_direction=X",
8,22,3,F,52,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=0,direction1=X,direction2=Z",
8,23,3,G,84,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Y,direction2=Z",
8,24,3,G,34,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=Z,direction2=Y",
9,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=9,direction1=Z,direction2=Y",
9,2,1,G,577,1.0,0.75,0.0,0.25,1.0,"put,x=0,y=0,piece_index=7,direction1=Y,direction2=X",
9,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=3,direction1=X,direction2=Z",
9,4,1,G,397,1.0,0.75,0.0,0.25,1.0,"put,x=1,y=2,piece_index=0,direction1=Y,direction2=X",
9,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=4,direction1=Z,direction2=X",
9,6,1,G,241,1.0,0.5,0.0,0.5,1.0,"put,x=2,y=0,piece_index=5,direction1=X,direction2=Y",0.5
9,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=1,direction1=Z,direction2=Y",
9,8,1,G,109,0.5,0.5,0.0,0.0,0.5,"put,x=2,y=2,piece_index=1,direction1=Z,direction2=Y",
9,9,1,F,49,1.0,1.0,0.25,0.0,0.75,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=Y",0.5
